attack,n_poison,poison_rate,retriever,n_attacked_queries,prr@1,prr@3,prr@5,prr@10,dataset
lexical,1,1.0,bm25,25,1.0,1.0,1.0,1.0,hotpotqa
lexical,1,1.0,dense,25,0.52,0.96,1.0,1.0,hotpotqa
lexical,1,1.0,hybrid,25,0.96,1.0,1.0,1.0,hotpotqa
lexical,1,1.0,reranker,25,0.96,1.0,1.0,1.0,hotpotqa
lexical,3,1.0,bm25,25,1.0,1.0,1.0,1.0,hotpotqa
lexical,3,1.0,dense,25,0.6,1.0,1.0,1.0,hotpotqa
lexical,3,1.0,hybrid,25,1.0,1.0,1.0,1.0,hotpotqa
lexical,3,1.0,reranker,25,1.0,1.0,1.0,1.0,hotpotqa
semantic_fluent,1,1.0,bm25,25,0.44,0.84,0.88,0.96,hotpotqa
semantic_fluent,1,1.0,dense,25,0.68,0.92,0.96,1.0,hotpotqa
semantic_fluent,1,1.0,hybrid,25,0.56,0.92,0.96,0.96,hotpotqa
semantic_fluent,1,1.0,reranker,25,0.88,0.96,1.0,1.0,hotpotqa
semantic_fluent,3,1.0,bm25,25,0.8,0.92,0.92,0.96,hotpotqa
semantic_fluent,3,1.0,dense,25,0.76,0.96,1.0,1.0,hotpotqa
semantic_fluent,3,1.0,hybrid,25,0.76,0.92,0.96,1.0,hotpotqa
semantic_fluent,3,1.0,reranker,25,0.92,1.0,1.0,1.0,hotpotqa
lexical,5,1.0,bm25,25,1.0,1.0,1.0,1.0,hotpotqa
lexical,5,1.0,dense,25,0.68,1.0,1.0,1.0,hotpotqa
lexical,5,1.0,hybrid,25,1.0,1.0,1.0,1.0,hotpotqa
lexical,5,1.0,reranker,25,1.0,1.0,1.0,1.0,hotpotqa
semantic_fluent,5,1.0,bm25,25,0.72,0.92,0.96,1.0,hotpotqa
semantic_fluent,5,1.0,dense,25,0.8,1.0,1.0,1.0,hotpotqa
semantic_fluent,5,1.0,hybrid,25,0.84,1.0,1.0,1.0,hotpotqa
semantic_fluent,5,1.0,reranker,25,1.0,1.0,1.0,1.0,hotpotqa
lexical,1,0.3,bm25,8,1.0,1.0,1.0,1.0,hotpotqa
lexical,1,0.3,dense,8,0.75,1.0,1.0,1.0,hotpotqa
lexical,1,0.3,hybrid,8,1.0,1.0,1.0,1.0,hotpotqa
lexical,1,0.3,reranker,8,1.0,1.0,1.0,1.0,hotpotqa
semantic_fluent,1,0.3,bm25,8,0.75,1.0,1.0,1.0,hotpotqa
semantic_fluent,1,0.3,dense,8,0.75,1.0,1.0,1.0,hotpotqa
semantic_fluent,1,0.3,hybrid,8,0.625,1.0,1.0,1.0,hotpotqa
semantic_fluent,1,0.3,reranker,8,0.875,1.0,1.0,1.0,hotpotqa
lexical,1,1.0,bm25,25,0.96,0.96,0.96,0.96,2wikimultihopqa
lexical,1,1.0,dense,25,0.64,1.0,1.0,1.0,2wikimultihopqa
lexical,1,1.0,hybrid,25,0.96,0.96,1.0,1.0,2wikimultihopqa
lexical,1,1.0,reranker,25,0.88,1.0,1.0,1.0,2wikimultihopqa
lexical,3,1.0,bm25,25,0.96,0.96,0.96,0.96,2wikimultihopqa
lexical,3,1.0,dense,25,0.68,0.96,1.0,1.0,2wikimultihopqa
lexical,3,1.0,hybrid,25,0.96,1.0,1.0,1.0,2wikimultihopqa
lexical,3,1.0,reranker,25,0.88,1.0,1.0,1.0,2wikimultihopqa
semantic_fluent,1,1.0,bm25,25,0.76,0.8,0.88,0.88,2wikimultihopqa
semantic_fluent,1,1.0,dense,25,0.84,0.96,1.0,1.0,2wikimultihopqa
semantic_fluent,1,1.0,hybrid,25,0.84,0.88,0.96,1.0,2wikimultihopqa
semantic_fluent,1,1.0,reranker,25,0.84,1.0,1.0,1.0,2wikimultihopqa
semantic_fluent,3,1.0,bm25,25,0.84,0.88,0.96,1.0,2wikimultihopqa
semantic_fluent,3,1.0,dense,25,0.96,1.0,1.0,1.0,2wikimultihopqa
semantic_fluent,3,1.0,hybrid,25,0.84,1.0,1.0,1.0,2wikimultihopqa
semantic_fluent,3,1.0,reranker,25,0.96,1.0,1.0,1.0,2wikimultihopqa
